Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes,Unnamed: 20,abstract_text,resolution_status,retraction_notice_text,notice_text_source,templating_keyword_matches,templating_confirmed_by_keyword,notice_text_available,manual_verdict
70007.0,MicroRNA-142-5p Overexpression Inhibits Cell Growth and Induces Apoptosis by Regulating FOXO in Hepatocellular Carcinoma Cells,(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Gastroenterology;,"Department of Ultrasound, Xuzhou Central Hospital, Xuzhou, Jiangsu, P.R. China; Department of Gynecology and Obstetrics, Xuzhou Central Hospital, Xuzhou, Jiangsu, P.R. China; Central Laboratory, Xuzhou Central Hospital, Xuzhou, Jiangsu, P.R. China;",Oncology Research Featuring Preclinical and Clinical Cancer Therapeutics,Cognizant Communication Corporation,China,Kexin Lou;Ning Chen;Zhihong Li;Bei Zhang;Xiuli Wang;Ye Chen;Haining Xu;Dongwei Wang;Hao Wang,,Research Article;,7/25/2024 0:00,10.32604/or.2024.056123,39220138.0,1/2/2017 0:00,10.3727/096504016x14719078133366,28081734.0,Retraction,Author Unresponsive;Concerns/Issues about Data;Investigation by Journal/Publisher;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Paper Mill;Unreliable Data;,No,See also: https://pubpeer.com/publications/B9AA8288618A61B39B532ED60D49B6,,"Abnormal expression of microRNA (miR)-142-5p has been reported in hepatocellular carcinoma (HCC). However, little information is available regarding the functional role of miR-142-5p in HCC. We aimed to explore the effects of miR-142-5p aberrant expression on HCC cell growth and cell apoptosis, as well as the underlying mechanism. Human HCC cell lines HepG2 and SMMC-7721 cells were transfected with miR-142-5p mimic, inhibitor, or a corresponding negative control. Cell viability, cell cycle distribution, and cell apoptosis were then analyzed. In addition, protein expression of Forkhead box, class O (FOXO) 1 and 3, a Bcl-2-interacting mediator of cell death (Bim), procaspase 3, and activated caspase 3 was measured. After transfection with miR-142-5p inhibitor, FOXO1 and FOXO3 were overexpressed, and then the cell viability and cell apoptosis were determined again. The relative cell viability in both HepG2 and SMMC-7721 cells was significantly reduced by miR-142-5p overexpression ( p &lt;0.05). miR-142-5p overexpression displayed a significant blockage at the G 1 /S transition and significantly increased the percentages of G 0 /G 1 phase. Moreover, the results showed that miR-142-5p overexpression significantly induced cell apoptosis and statistically elevated the protein expression levels of FOXO1, FOXO3, Bim, procaspase 3, and activated caspase 3. However, the cells transfected with miR-142-5p inhibitor showed contrary results. Additionally, the effects of miR-142-5p inhibitor on cell viability and apoptosis were reversed by overexpression of FOXO. In conclusion, our results suggest that miR-142-5p overexpression shows an important protective role in HCC by inhibiting cell growth and inducing apoptosis. These effects might be by regulating FOXO expression in HCC cells.",ok,Retraction: MicroRNA-142-5p Overexpression Inhibits Cell Growth and Induces Apoptosis by Regulating FOXO in Hepatocellular Carcinoma Cells,crossref,[],False,True,YES
70006.0,"Long Noncoding RNA CAT104 Promotes Cell Viability, Migration, and Invasion in Gastric Carcinoma Cells Through Activation of MicroRNA-381-Inhibiting Zinc Finger E-box-Binding Homeobox 1 (ZEB1) Expression",(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Gastroenterology;,"Department of Gastroenterology, 401 Hospital of People’s Liberation Army, Qingdao, P.R. China; Gang Yuan 1 , Jingzi Quan 1 , Dongfang Dong 1 , Qunying Wang 1",Oncology Research Featuring Preclinical and Clinical Cancer Therapeutics,Cognizant Communication Corporation,China,Gang Yuan;Jingzi Quan;Dongfang Dong;Qunying Wang,,Research Article;,9/29/2024 0:00,10.32604/or.2024.056895,39449802.0,8/23/2018 0:00,10.3727/096504017x15144748428127,29295724.0,Retraction,Author Unresponsive;Concerns/Issues about Data;Duplication of Data;Euphemisms for Duplication;Euphemisms for Plagiarism;Investigation by Journal/Publisher;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Paper Mill;Plagiarism of Data;Unreliable Data;,No,See also: https://pubpeer.com/publications/181BFCCD4C6B3E85122632698D19EF,,"Gastric carcinoma (GC) remains the second leading cause of cancer-related deaths worldwide. Good biomarkers are of paramount importance for GC therapy. This study aimed to assess the role of long noncoding RNA (lncRNA) CAT104 in GC. We found that CAT104 was highly expressed in human GC NCI-N87, SGC7901, BGC823, BGC803, and AGS cells. Suppression of CAT104 decreased NCI-N87 cell viability, migration, and invasion, but promoted apoptosis. CAT104 knockdown enhanced the expression of microRNA-381 (miR-381) expression in NCI-N87 cells. miR-381 participated in the regulatory effects of CAT104 on NCI-N87 cell viability, migration, invasion, and apoptosis. Zinc finger E-box-binding homeobox 1 (ZEB1) was identified as a direct target of miR-381. Overexpression of ZEB1 reversed the miR-381 mimic-induced cell viability, migration, and invasion inhibition. Suppression of ZEB1 reversed the miR-381 inhibitor-induced activation of the c-Jun N-terminal kinase (JNK) pathway and Wnt/β-catenin signaling pathways in NCI-N87 cells. In conclusion, CAT104 might function as an oncogenic factor in GC cells via regulating the expression of miR-381 and ZEB1.",ok,"Retraction: long noncoding RNA CAT104 promotes cell viability, migration, and invasion in gastric carcinoma cells through activation of microRNA-381-inhibiting zinc finger e-box-binding homeobox 1 (ZEB1) expression",crossref,[],False,True,YES
66532.0,"Propofol suppresses growth, migration and invasion of A549 cells by down-regulation of miR-372",(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Anesthesia/Anaesthesia;(HSC) Medicine - Pharmacology;,"Department of Anesthesiology, China-Japan Union Hospital of Jilin University, No.126, Xiantai Street, Changchun, Jilin, 130033, China;",BMC Cancer,Springer - Biomed Central (BMC),China,Hai Sun;Dengyu Gao,https://retractionwatch.com/?s=paper+mill,Research Article;,4/15/2024 0:00,10.1186/s12885-024-12247-0,38622580.0,12/14/2018 0:00,10.1186/s12885-018-5175-y,30547768.0,Retraction,Concerns/Issues about Data;Investigation by Third Party;Paper Mill;Unreliable Data;,No,See also: https://pubpeer.com/publications/FDB8ABCA19AA8AB45DBC1CFFEA8F22,,"Abstract Background Propofol, a commonly used intravenous anesthetic during cancer resection surgery, has been found to exhibit tumor inhibitory effects in vitro and in vivo. The role of propofol in lung cancer has been previously reported, whereas its action mechanism remains unclear. This study further investigated the effects of propofol on lung cancer A549 cell growth, migration and invasion, as well as the underlying mechanisms. Methods Cell viability, proliferation, migration, invasion and apoptosis were assessed by CCK-8 assay, BrdU assay, two chamber transwell assay and flow cytometry, respectively. The regulatory effect of propofol on microRNA-372 (miR-372) expression in A549 cells was analyzed by qRT-PCR. Cell transfection was used to change the expression of miR-372. The protein expression of key factors involving in cell proliferation, apoptosis, migration and invasion, as well as Wnt/β-catenin and mTOR pathways were analyzed by western blotting. Results Propofol inhibited lung cancer A549 cell viability, proliferation, migration, and invasion, but promoted cell apoptosis. Moreover, miR-372 was down-regulated in propofol-treated A549 cells. Overexpression of miR-372 abrogated the effects of propofol on proliferation, migration, invasion and apoptosis of A549 cells. Knockdown of miR-372 had opposite effects. Furthermore, propofol suppressed Wnt/β-catenin and mTOR signaling pathways by down-regulating miR-372. Conclusion Propofol inhibits growth, migration and invasion of lung cancer A549 cells at least in part by down-regulating miR-372 and then inactivating Wnt/β-catenin and mTOR pathways.",ok,"Retraction Note: Propofol suppresses growth, migration and invasion of A549 cells by down-regulation of miR-372",crossref,[],False,True,YES
66531.0,"Curcumin inhibits proliferation, migration, invasion and promotes apoptosis of retinoblastoma cell lines through modulation of miR-99a and JAK/STAT pathway",(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Ophthalmology;(HSC) Medicine - Pharmacology;,"Department of Ophthalmology, The Second Hospital of Jilin University, Changchun, Jilin, 130041, China; Department of Gastroenterological Surgery, China-Japan Union Hospital of Jilin University, Changchun, Jilin, 130033, China; Department of Vascular Surgery, China-Japan Union Hospital of Jilin University, No.126, Xiantai Street, Changchun, Jilin, 130033, China;",BMC Cancer,Springer - Biomed Central (BMC),China,Yaping Li;Weixuan Sun;Ning Han;Ying Zou;Dexin Yin,https://retractionwatch.com/?s=paper+mill,Research Article;,4/15/2024 0:00,10.1186/s12885-024-12248-z,38622642.0,12/10/2018 0:00,10.1186/s12885-018-5130-y,30526546.0,Retraction,Concerns/Issues about Data;Investigation by Third Party;Paper Mill;Unreliable Data;,No,See also: https://pubpeer.com/publications/A6F67A83CE9A4865B0B57C352E9E6F,,"Abstract Background Curcumin, a primary active ingredient extracted from the Curcuma longa , has been recently identified as a potential anti-tumor agent in multiple kinds of cancers. However, the effect of curcumin on retinoblastoma (Rb) is still unclear. Therefore, we attempted to reveal the functional impacts and the underlying mechanisms of curcumin in Rb cells. Methods Two Rb cell lines SO-Rb50 and Y79 were pre-treated with various doses of curcumin, and then cell proliferation, apoptosis, migration, and invasion were assessed, respectively. Further, regulatory effects of curcumin on miR-99a expression, as well as the activation of JAK/STAT pathway were studied. Results Data showed that curcumin significantly inhibited the viability, colony formation capacity, migration and invasion, while induced apoptosis of SO-Rb50 and Y79 cells. Up-regulation of miR-99a was observed in curcumin-treated cells. Curcumin suppressed the phosphorylation levels of JAK1, STAT1, and STAT3, while curcumin did not inhibit the activation of JAK/STAT pathway when miR-99a was knocked down. Conclusion Curcumin inhibited proliferation, migration, invasion, but promoted apoptosis of Rb cells. The anti-tumor activities of curcumin on Rb cells appeared to be via up-regulation of miR-99a, and thereby inhibition of JAK/STAT pathway.",ok,"Retraction Note: Curcumin inhibits proliferation, migration, invasion and promotes apoptosis of retinoblastoma cell lines through modulation of miR-99a and JAK/STAT pathway",crossref,[],False,True,YES
60822.0,Overexpression of lncRNA ANRIL up-regulates VEGF expression and promotes angiogenesis of diabetes mellitus combined with cerebral infarction by activating NF-κB signaling pathway in a rat model,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Genetics;,"Department of Neurosurgery, The First Hospital of Jilin University, Changchun, P.R. China; Department of Ophthalmology, The First Hospital of Jilin University, Changchun, P.R. China; Department of Radiology, The First Hospital of Jilin University, Changchun, P.R. China;",Oncotarget,Impact Journals,China,Bo Zhang;Dan Wang;Tie-Feng Ji;Lei Shi;Jin-Lu Yu,,Research Article;,1/20/2025 0:00,10.18632/oncotarget.28572,39832299.0,1/3/2017 0:00,10.18632/oncotarget.14468,28060742.0,Retraction,Concerns/Issues about Image;Euphemisms for Plagiarism;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Plagiarism of Image;,No,see also: https://pubpeer.com/publications/FA3F32B4A866C2B02976AEB2BF1248,,"This study aimed to explore the effects of lncRNA ANRIL on vascular endothelial growth factor (VEGF) and angiogenesis in diabetes mellitus (DM) combined with cerebral infarction (CI) through NF-κB signaling pathway. Adult male Wistar rats were randomly divided into control group and DM + CI group, and the DM + CI group were subdivided into Vector, shANRIL, PDTC, pcDNA-ANRIL, and pcDNA-ANRIL + PDTC groups. VEGF and FMS-like tyrosine kinase (FLT-1) expressions were measured by immunohistochemistry and endothelium dependent microvessel density (MVD) was detected by differentiation 31 (CD31) and para-amiuosalicylic acid (PAS) double staining. The qRT-PCR was applied to measure mRNA expressions of VEGF, FLT-1, Kinase insert domain protein receptor (FLK-1) and NF-κB, and Western blotting was conducted to detected expressions of VEGF, NF-κB and p-IκB/IκB. Compared with the control group, protein expressions of VEGF, NF-κB, p-IκB/IκB, expression of ANRIL, and mRNA expressions of VEGF, FLT-1 and NF-κB were increased in the DM + CI group. Compared with the Vector group, protein expressions of VEGF, NF-κB, p-IκB/IκB, expression of ANRIL, mRNA expressions of VEGF, FLT-1 and NF-κB, and endothelium dependent MVD were increased in the pcDNA-ANRIL group, while decreased in the shANRIL group and PDTC group. Compared with the pcDNA-ANRIL group, protein expressions of VEGF, NF-κB, p-IκB/IκB, expression of ANRIL, mRNA expressions of VEGF, FLT-1 and NF-κB, and endothelium dependent MVD were decreased in the pcDNA-ANRIL + PDTC group. Overexpressed lncRNA ANRIL upregulates VEGF and promotes angiogenesis by activating NF-κB signaling pathway in DM + CI rats. .",ok_via_pubmed,Retraction: Overexpression of lncRNA ANRIL up-regulates VEGF expression and promotes angiogenesis of diabetes mellitus combined with cerebral infarction by activating NF-κB signaling pathway in a rat model,crossref,[],False,True,YES
59728.0,Matrine reverses the drug resistance of K562/ADM cells to ADM and VCR via promoting autophagy,(BLS) Biochemistry;(BLS) Toxicology;,"Department of Hematology, Qilu Hospital of Shandong University (Qingdao), Qingdao 266035, China;",Translational Cancer Research,AME Publishing Company,China,Zhao Li;Ning Wang;Ting Yue;Lu Liu,,Research Article;,11/27/2024 0:00,10.21037/tcr-2024-9,39697702.0,2/28/2020 0:00,10.21037/tcr.2019.12.11,35117424.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Investigation by Third Party;Paper Mill;,No,see also: https://pubpeer.com/publications/03EE32D9A97A40FA7E6481FF289348,,"This study aimed to investigate the effects of matrine (MAT) on the drug resistance of K562/ADM cells. K562/S and K562/ADM cells were treated with different concentrations of vincristine (VCR), adriamycin (ADM), and/or MAT for 48 h. The cell viability was determined by MTT assay, and the drug-resistant multiple and drug-resistant reversal multiple were calculated based on half-inhibitory concentration (IC50). The cell apoptosis, as well as cell cycle were detected by flow cytometry. The autophagy was evaluated by transmission electron microscope and GFP-LC3 staining. Autophagy-related protein levels of LC3 II, and P62 were detected by Western blot. MAT reduced the viability of K562/S and K562/ADM cells in a dose-dependent manner, and 0.5 mg/mL was identified as the non-cytotoxic concentration. MAT eliminated the drug resistance of K562/ADM cells to ADM and VCR, and the drug resistance reversal multiple was 10.12 and 4.91, respectively. Chloroquine (CQ), a lysosomal inhibitor significantly reversed the inhibitory effect of MAT on the viability of K562/ADM cells. In addition, MAT induced the apoptosis of K562/ADM cells through arresting the cell cycle at G0/G1 phase in a dose-dependent manner. MAT also increased the autophagic vacuoles, the LC3+ punctate fluorescence, as well as the LC3 II protein level, and decreased P62 protein level in K562/ADM cells in a dose-dependent manner. MAT reversed the drug resistance of K562/ADM cells to ADM and VCR through promoting autophagy.",ok_via_pubmed,Retraction: Matrine reverses the drug resistance of K562/ADM cells to ADM and VCR via promoting autophagy,crossref,[],False,True,YES
58882.0,MEK inhibitors induce apoptosis via FoxO3a-dependent PUMA induction in colorectal cancer cells,(BLS) Biochemistry;(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;,"Department of Clinical Laboratory, the First Affiliated Hospital of Dalian Medical University, Dalian, Liaoning, 116011, China;",Oncogenesis,Springer - Nature Publishing Group,China,Lin Lin;Dapeng Ding;Yanmei Jiang;Yan Li;Shijun Li,,Research Article;,11/21/2024 0:00,10.1038/s41389-024-00543-0,39572524.0,9/7/2018 0:00,10.1038/s41389-018-0078-y,30190455.0,Retraction,Euphemisms for Plagiarism;Investigation by Journal/Publisher;Paper Mill;Plagiarism of Data;Unreliable Results and/or Conclusions;,No,,,"Abstract Mutations in BRAF are common to many cancers, including CRC. The MEK inhibitors are being investigated in BRAF -mutant CRC. In this study, we aimed to investigate how MEK inhibitor suppresses growth of BRAF -mutated CRC cells as well as its potential mechanisms. Our findings indicated that MEK inhibitor promote PUMA expression via ERK/FoxO3a signaling pathway. In addition, PUMA induction is essential for MEK inhibitor-induced apoptosis. Moreover, PUMA induction is required for MEK inhibitors to induced apoptosis in combination with cisplatin, dabrafenib, or Gefitinib. Knockdown of PUMA suppressed the anticancer effect of the MEK inhibitor in vivo. Our findings indicate a novel role for PUMA as a regulator of the antitumor effects of MEK inhibitor, suggesting that PUMA induction may modulate MEK inhibitor sensitivity.",ok,Retraction Note: MEK inhibitors induce apoptosis via FoxO3a-dependent PUMA induction in colorectal cancer cells,crossref,[],False,True,UNCLEAR
57764.0,"MCCK1 enhances the anticancer effect of temozolomide in attenuating the invasion, migration and epithelial-mesenchymal transition of glioblastoma cells in vitro and in vivo",(BLS) Biochemistry;(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;,"Department of Neurosurgery, BeijingTiantan Hospital, Capital MedicalUniversity, Beijing, China;",Cancer Medicine,Wiley,China,Tie Liu;Anqi Li;Yulun Xu;Yu Xin,,Research Article;,10/10/2024 0:00,10.1002/cam4.70300,39387476.0,1/18/2019 0:00,10.1002/cam4.1951,30656846.0,Retraction,Duplication of/in Image;Euphemisms for Duplication;Euphemisms for Plagiarism;Investigation by Journal/Publisher;Investigation by Third Party;Manipulation of Images;Paper Mill;Plagiarism of Image;Unreliable Results and/or Conclusions;,No,,,"Abstract Chemotherapy with temozolomide (TMZ) is the traditional treatment for glioblastoma (GBM). Nevertheless, majority of GBM patients have recurrence from resistance to the chemotherapy. Herein, we examined combinational effects of MCCK1 (a specific and effective IKKε inhibitor) with TMZ in GBM U251MG and U‐87MG cell lines as well as U251MG xenograft models to overcome the therapeutic limitation of chemotherapy for GBM. Although MCCK1 alone showed inhibitory effects on in vitro proliferation, migration, invasion, and EMT of U251MG and U‐87MG cells, combination of MCCK1 and TMZ showed enhanced inhibitory effects. In the U251MG GBM xenograft models, MCCK1 showed synergistic therapeutic effects in combination with TMZ to reduce tumor volumes significantly. These data indicated that MCCK1 could be a candidate sensitizer to potentiate therapeutic effects of conventional cytotoxic treatment for GBM.",ok,"Retraction: T. Liu, A. Li, Y. Xu, and Y. Xin, “MCCK1 Enhances the Anticancer Effect of Temozolomide in Attenuating the Invasion, Migration and Epithelial‐Mesenchymal Transition of Glioblastoma Cells in Vitro and in Vivo,” Cancer Medicine 8, no. 2 (2019): 751–760. https://doi.org/10.1002/cam4.1951 . The above article, published online on 18 January 2019, in Wiley Online Library (wileyonlinelibrary.com), has been retracted by agreement between the authors, the journal Editor‐in‐Chief, Stephen Tait, and John Wiley &amp; Sons Ltd. A report submitted by a third party noted image duplications with other articles by different author groups. Specifically, the report found image duplications with other published articles in Figures 1E, 2B, 3A, 3D and 4C. The report also found image overlap between images in Figure 3A. The retraction has been agreed to because the evidence of image duplication across different articles, each of which describes different experimental conditions, fundamentally compromises the editors' confidence in the conclusions presented. The authors have voluntarily agreed with the retraction.",crossref,[],False,True,UNCLEAR
57763.0,"Puerarin 6″-O-xyloside suppressed HCC via regulating proliferation, stemness, and apoptosis with inhibited PI3K/AKT/mTOR",(BLS) Biochemistry;(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;,"Department of General Surgery, People'sHospital of Rizhao, Rizhao, ShandongProvince, China;",Cancer Medicine,Wiley,China,Long Li;Jun-Dong Liu;Guo-Dong Gao;Kai Zhang;Yu-Wei Song;Hong-Bo Li,,Research Article;,10/10/2024 0:00,10.1002/cam4.70301,39387478.0,7/21/2020 0:00,10.1002/cam4.3285,32691991.0,Retraction,Euphemisms for Plagiarism;Investigation by Journal/Publisher;Investigation by Third Party;Manipulation of Images;Paper Mill;Plagiarism of Image;Unreliable Results and/or Conclusions;,No,see also: https://pubpeer.com/publications/6D7C295E1726836B0C3366F9758D5D,,"Abstract Puerarin 6″‐O‐xyloside is a tumor suppressive derivate of Puerarin that is recently characterized as a lysine‐specific demethylase 6B inhibitor. Here we investigated the effects of Puerarin 6″‐O‐xyloside in hepatocellular carcinoma (HCC) cell lines SMMC‐7721 and HepG2. Cell viability, proliferation, stemness, protein expression, and autophagy were tested by CCK‐8, colony formation, sphere formation, western blotting, and LC3B GFP puncta per cell, respectively. Apoptosis, CD133‐positive cells, and JC‐1‐labeled mitochondrial membrane potential were measured by flow cytometry. The effects of Puerarin 6″‐O‐xyloside in vivo were explored in HepG2 xenograft mice. Puerarin 6″‐O‐xyloside inhibited cell viability, proliferation, and stemness, and promoted apoptosis in both SMMC‐7721 and HepG2 cells. Further experiments showed promoted autophagy and decreased mitochondrial membrane potential, and decreased expression of p‐PI3K, p‐AKT, and p‐mTOR in HepG2 cells. Co‐administration of 3‐MA with Puerarin 6″‐O‐xyloside obviously augmented these effects including inhibited protein expression of p‐PI3K, p‐AKT, and p‐mTOR, and inhibited proliferation, promoted apoptosis, and decreased stemness. In HepG2 xenograft mice, 100 mg/kg/d Puerarin 6″‐O‐xyloside significantly suppressed tumor growth, stemness, and apoptosis. In conclusion, our study indicated that Puerarin 6″‐O‐xyloside decreased cell viability, proliferation, and stemness, and promoted autophagy and mitochondria‐dependent apoptosis of HCC, at least partly through inhibiting PI3K/AKT/mTOR. These results highlighted Puerarin 6″‐O‐xyloside as a promising prodrug that could inhibit both PI3K/AKT/mTOR and epigenetic demethylation.",ok,"Retraction: L. Li, J.‐D. Liu, G.‐D. Gao, K. Zhang, Y.‐W. Song, and H.‐B. Li, “Puerarin 6″‐O‐xyloside Suppressed HCC via Regulating Proliferation, Stemness, and Apoptosis with Inhibited PI3K/AKT/mTOR,” Cancer Medicine 9, no. 17 (2020): 6399–6410. https://doi.org/10.1002/cam4.3285 . The above article, published online on 21 July 2020, in Wiley Online Library (wileyonlinelibrary.com), has been retracted by agreement between the journal Editor in Chief, Stephen Tait, and John Wiley &amp; Sons Ltd. A report submitted by a third party noted image duplications with other articles by different author groups. Specifically, the report found image duplications with other published articles in Figures 2A, 2C, 3A, 4A, 5D, and 6A. The retraction has been agreed to because the evidence of image duplication across different articles, each of which describes different experimental conditions, fundamentally compromises the editors' confidence in the conclusions presented. The authors did not respond to our notice regarding the retraction.",crossref,[],False,True,YES
57762.0,Long noncoding RNA CASC9 promotes the proliferation and metastasis of papillary thyroid cancer via sponging miR-488-3p,(BLS) Biochemistry;(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;,"Department of Nuclear Medicine, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China; Beijing Key Laboratory of Molecular Targeted Diagnosis and Therapy in Nuclear Medicine, Beijing, China; Department of Nuclear Medicine, The Mine Hospital of Xuzhou, Xuzhou, China; Department of Radionuclide Treatment Center, Beijing Nuclear Industry Hospital,Beijing, China;",Cancer Medicine,Wiley,China,Yonghui Chen;Yaomei Li;Hongbo Gao,,Research Article;,10/10/2024 0:00,10.1002/cam4.70302,39387533.0,1/13/2020 0:00,10.1002/cam4.2839,31943867.0,Retraction,Duplication of/in Image;Euphemisms for Duplication;Euphemisms for Plagiarism;Investigation by Journal/Publisher;Investigation by Third Party;Manipulation of Images;Paper Mill;Plagiarism of Image;Unreliable Results and/or Conclusions;,No,see also: https://pubpeer.com/publications/A1B0E573F104DCD3E870B1B938FE19,,"Abstract Cancer susceptibility candidate 9 (CASC9) is a recently identified lncRNA that acted as a tumor promotor in diversified cancer types. However, its role in papillary thyroid cancer (PTC) remains unknown. The expression of CASC9 was measured in 52 human PTC tissues and PTC cell lines as well as their controls. The proliferation, migration, and invasion of PTC cells were determined after knockdown or overexpression of CASC9 to evaluate the effect of CASC9 on PTC cells. Also, the role of PTC tumorigenesis was confirmed in mice xenograft models. Additionally, the underlying mechanisms of CASC9 were further researched. We found that CASC9 expression was augmented in human PTC tissues and cells. Higher CASC9 expression was associated with large tumor size, advanced stage, or lymph node metastasis. Downregulation of CASC9 significantly attenuated the proliferative, migrative, and invasive abilities of PTC cells, and suppressed tumorigenesis in vivo. While overexpression of CASC9 elevated the proliferation, migration, and invasion of PTC cells. miR‐488‐3p expression was decreased, and ADAM9 level was increased in PTC tissues and cells. CASC9 expression was negatively related to miR‐488‐3p, but positively associated with ADAM9 expression in PTC tissues. Molecular mechanism analysis revealed that CASC9 functioned via sponging miR‐488‐3p to regulate ADAM9 expression, followed by activation of EGFR‐Akt signaling. In conclusion, lncRNA CASC9 promoted the malignant phenotypes of PTC via modulating miR‐488‐3p/ADAM9 pathway. This study may provide a novel therapeutic target for the treatment of PTC.",ok,"Retraction: Y. Chen, Y. Li, and H. Gao, “Long Noncoding RNA CASC9 Promotes the Proliferation and Metastasis of Papillary Thyroid Cancer Via Sponging miR‐488‐3p,” Cancer Medicine 9, no. 5 (2020): 1830–1841. https://doi.org/10.1002/cam4.2839 . The above article, published online on 13 January 2020, in Wiley Online Library (wileyonlinelibrary.com), has been retracted by agreement between the journal Editor‐in‐Chief, Stephen Tait, and John Wiley &amp; Sons Ltd. A report submitted by a third party noted image duplications with other articles by different author groups. Specifically, the report found image duplications with other published articles in Figures 2D, 3C, 4B, 4C, 5C and 7B. The report also found image overlap between images in Figures 2C and 6H. The retraction has been agreed to because the evidence of image duplication across different articles, each of which describes different experimental conditions, fundamentally compromises the editors' confidence in the conclusions presented. The authors did not respond to our notice regarding the retraction.",crossref,[],False,True,YES
